N = 245822, log(prod) = 7.87e-308 x 2^-353000, diff 0.00752
N = 246500, log(prod) = 8.51e-308 x 2^-354000, diff 0.00744
N = 247212, log(prod) = 6.40e-308 x 2^-355000, diff 0.00749
N = 247902, log(prod) = 1.13e-308 x 2^-356000, diff 0.00747
N = 248588, log(prod) = 7.15e-308 x 2^-357000, diff 0.00741
N = 249259, log(prod) = 7.39e-308 x 2^-358000, diff 0.00730
N = 249964, log(prod) = 1.12e-308 x 2^-359000, diff 0.00733
N = 250669, log(prod) = 4.64e-308 x 2^-360000, diff 0.00736
N = 251400, log(prod) = 7.25e-308 x 2^-361000, diff 0.00748
N = 252089, log(prod) = 2.48e-308 x 2^-362000, diff 0.00745
N = 252778, log(prod) = 4.89e-308 x 2^-363000, diff 0.00741
N = 253498, log(prod) = 7.93e-308 x 2^-364000, diff 0.00749
N = 254252, log(prod) = 4.38e-308 x 2^-365000, diff 0.00771
N = 254924, log(prod) = 3.07e-308 x 2^-366000, diff 0.00761
N = 255666, log(prod) = 6.71e-308 x 2^-367000, diff 0.00778
N = 256366, log(prod) = 8.17e-308 x 2^-368000, diff 0.00778
N = 257064, log(prod) = 3.01e-308 x 2^-369000, diff 0.00778
N = 257794, log(prod) = 3.94e-308 x 2^-370000, diff 0.00790
N = 258466, log(prod) = 2.74e-308 x 2^-371000, diff 0.00780
N = 259166, log(prod) = 2.20e-308 x 2^-372000, diff 0.00781
N = 259874, log(prod) = 7.66e-308 x 2^-373000, diff 0.00784
N = 260560, log(prod) = 8.03e-308 x 2^-374000, diff 0.00779
N = 261248, log(prod) = 7.82e-308 x 2^-375000, diff 0.00775
N = 261903, log(prod) = 7.01e-308 x 2^-376000, diff 0.00759
N = 262559, log(prod) = 8.27e-308 x 2^-377000, diff 0.00743
N = 263233, log(prod) = 2.13e-308 x 2^-378000, diff 0.00734
N = 263894, log(prod) = 4.97e-308 x 2^-379000, diff 0.00720
N = 264583, log(prod) = 8.54e-308 x 2^-380000, diff 0.00716
N = 265291, log(prod) = 2.05e-308 x 2^-381000, diff 0.00720
N = 265975, log(prod) = 2.70e-308 x 2^-382000, diff 0.00715
N = 266638, log(prod) = 6.63e-308 x 2^-383000, diff 0.00701
N = 267311, log(prod) = 6.07e-308 x 2^-384000, diff 0.00692
N = 268006, log(prod) = 4.96e-308 x 2^-385000, diff 0.00691
N = 268728, log(prod) = 8.75e-308 x 2^-386000, diff 0.00700
N = 269454, log(prod) = 1.49e-308 x 2^-387000, diff 0.00711
